,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
314,courage,0.06219839134182199,0.15659844544141877,0.0,0.0,0.23338456709873134,0.0,0.0,0.0,1.1422533772261811,0.0,0.0,0.04637400005911101,0.0,0.006615531849871839,0.0,0.0,0.006896052550187311,0.329266138326478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,course,0.9888358427635336,0.22790356716382873,0.1850929138250404,0.010640321621912025,0.46906201382188556,0.09547364956024042,0.05633048535892242,0.2087671307063319,0.4475011239837824,0.07734734821051797,0.08910820733506644,0.5985067646655475,0.056878968084538926,0.0,0.32068501576190944,0.016033905097084605,0.0,0.3258873319274494,0.015928659810650305,0.06683626192900365,0.0,0.048277793008350355,0.15541333096492058,0.03641740060281938,0.05863711690220899
316,court,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43523606848424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047132190484672584,0.0
317,courts,0.0,0.0,0.6394145155569717,0.0,0.0,0.0,0.0,3.34100506241868,0.0,0.0,0.0,0.0,0.16486304806195323,0.0,0.0,0.0,0.0,0.0,0.0045723107378290015,0.0,0.0,0.0,0.0,0.0,0.0
318,cover,0.17162084925204749,0.04276927707606352,0.18954859527585402,0.4792774834650461,0.0496497475318151,0.00109360043418267,0.0,0.008560976566890241,0.0,0.02776694221405775,0.0,0.0,0.0715367830868564,0.0,0.018975862795299097,0.03062266119047436,0.07062268095696077,0.0,0.12955397064979196,0.03633969294811347,0.16805808661026525,0.04732954096767513,0.008099334133214068,0.0,0.0
319,coverage,0.0,0.0,0.0,3.1353019328579785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005055673867517561,0.0,0.0,1.053783459586625,0.0,0.0,0.279632392280705,0.0,0.0,0.0
320,covered,0.0962551694368177,0.0,0.32186956878593365,0.48602969576185945,0.0,0.017310119728326002,0.0,0.04307435751097227,0.0012709826451884848,0.0,0.0,0.034017765812206016,0.12165618831926792,0.0,0.012468287302709697,0.03653672651016374,0.030060891582770165,0.0,0.09362612633371402,0.0,0.015235405006832632,0.062303799761426706,0.015193347872620468,0.007056992204484199,0.0
321,create,0.3514681862219775,0.12014023741035915,0.06994165348700312,0.0,0.019522932376074064,0.16114708686104126,0.07768555531434052,0.013476607233722682,0.0,0.19498207498846665,0.33062916058191755,0.0,0.0,0.0,0.0,0.0,0.03236087248866692,0.08934316286760283,0.001886748201212628,0.0,0.0,1.8163365855580507,0.0,0.1716459517241836,0.19209281241126056
322,created,0.18453966134321487,0.079915564623427,0.3237506042600267,0.0010210766560491994,0.033422351661450446,0.08065222629067748,0.04869219333960068,0.10747556243668929,0.2534795434218903,0.11025944464129064,0.08868421934648375,0.0,0.0,0.0,0.0,0.06856943196538261,0.0,0.19087988035835618,0.027652873477273777,0.0,0.17016661942795425,0.7593286673593784,0.0,0.14992520964826359,0.168930637111832
323,creating,0.12093607223180491,0.04800113894272492,0.08573409202337273,0.005830545304660592,0.0219221473527568,0.06480738580011174,0.05474900776653508,0.005883298602791358,0.043343397990998726,0.05807396591222998,0.11169964843610541,0.0,0.0,0.0,0.0,0.015189308754487265,0.011238572114914254,0.06042769846146134,0.005575408500526603,0.0,0.01358097657072675,0.7088579282371136,0.0,0.07526601250828546,0.1245817349288742
324,creation,0.0,0.06501318609055519,0.1353041669344238,0.0,0.0,0.028243238373806774,0.010455498282512556,0.0,0.09862852638931997,0.0955245040988927,0.07402950640807025,0.0,0.0,0.0,0.04511694742423089,0.01236979158306703,0.0,0.12826736234829889,0.0,0.0,0.008010951770379452,0.8704792079154255,0.0,0.0963637275843411,0.20749295036129273
325,credit,0.0,0.0,0.5751024666436704,0.0,0.0,0.0301388339820179,0.0,0.0,0.0,2.1180775358388346,0.1271744398097412,0.20316584738016208,0.0,0.0,0.06871221674641818,0.0,0.5284438708729905,0.0,0.0,0.0,0.24725330329991319,1.3682125237685754,0.01889526858624504,0.0,0.0
326,crime,0.0,0.0,1.9655937718096164,0.0,0.0,0.0,0.0,0.6514211794855299,0.030955676956972607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7508230076951515,0.0,1.6293698309532243,0.0,0.0,0.0,0.04321073456018144,0.0,0.0
327,crimes,0.0,0.0,1.0753892738527289,0.0,0.11698555150657756,0.0,0.0,0.4049951766917722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48036204261776166,0.30708055009747337,0.4318043414374088,0.0,0.0,0.0,0.0,0.0,0.0
328,criminal,0.0,0.0,1.4815336326660775,0.0,0.034777846716185765,0.0,0.0,1.027913639773193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1929658217234888,0.0,0.5399473873289171,0.0,0.0,0.0,0.0,0.0,0.0
329,crisis,0.1834330512198877,0.28614488829902435,0.1965994564871427,0.23579570468446526,0.15264741209048913,0.007547259994611755,0.0,0.0,0.007143792363245508,0.0,0.3869747531462244,0.0,0.0,0.0,0.03325096605982789,0.10161535279864684,0.20926653393080366,0.6079848332304475,0.041881841566228525,0.0,0.23351074508738892,0.4558707095283223,0.0,0.0,0.0
330,critical,0.0,0.0,0.4716903387870105,0.18272377204647475,0.15184248269686884,0.1430139248484699,0.15678489649313598,0.0,0.0,0.0,0.10200722025325773,0.08326589673550354,0.0,0.021192027592289844,0.19365704483357804,0.31434596622330024,0.14922491777342167,0.14946375503220782,0.011180801314812399,0.5461224777430715,0.4900657964688004,0.24144289703249106,0.0745338055457307,0.35765650931146514,0.6395348241795257
331,current,0.0,0.2690752760810531,1.6400661878914042,0.20873474872093412,0.0540198522212524,0.23060223718224782,0.039511693571949565,0.09247336899432546,0.0,0.34939727498737017,0.15678308900454785,0.0,0.1844136880038303,0.11040546712363722,0.07300808952970769,0.2878230825655407,0.11968049143166047,0.18487977462957877,0.040277622964871376,0.32533608800279334,0.7266326881538453,0.2965978152833795,0.13551970453774798,0.0791352166843768,0.11802778887357142
332,currently,0.0,0.0,0.7994476325188334,0.21457307402332199,0.03672489691383342,0.15618171998881342,0.08834252696423166,0.05496130720204945,0.08932477993263052,0.07358341897233225,0.16326388174665843,0.0,0.1170010158728397,0.10818515983998975,0.0,0.0979439667239943,0.14257583290422812,0.11679881200134615,0.07622635714994776,0.19762134610751758,0.35663563477201543,0.17396945276311399,0.0704135668139151,0.20922385239534738,0.21867193025019843
333,cut,0.9607063535793148,2.617666961371079,0.0,0.010014173695128992,0.0,0.0,0.07349026825780464,0.0,0.0,1.9237710566637094,0.0,0.0,0.03132257457794136,0.04108137216435462,0.0,0.1389649666315169,0.022260730458448456,0.0,0.18519125822841606,0.2118879271632386,0.8707862736416854,0.0,0.009930476619721159,0.0,0.0
334,cuts,0.0,3.476012712495832,0.0,0.2496676730727373,0.0,0.0,0.13692489625974294,0.0,0.0,2.0744763453023625,0.0,0.0,0.0,0.08407734929054002,0.0,0.08465750428492103,0.13876963041106213,0.0,0.18775356520973596,0.07406002284820394,0.29309540259800926,0.0,0.0,0.0,0.0
335,cutting,0.2906184500211779,0.7496819256548043,0.0,0.03819847013054075,0.0213368630621357,0.0,0.046630043009757635,0.0,0.0,0.21789721415342825,0.019430732842508923,0.0,0.0,0.0,0.0,0.01107462983627098,0.022046781658240797,0.0,0.0440013918298913,0.0857708770408425,0.21228754970336497,0.0498477353316522,0.0,0.0,0.1432197611424978
336,damage,0.1465867450116988,0.0,0.3099177549385589,0.02086212123846342,0.07810182281757636,0.038137493521761795,0.0,0.049166521509911854,0.029633317548565383,0.0,0.0909654874159092,0.0,0.04252329643635529,0.0,0.0,0.0,0.019780338808588552,0.11176064634927801,0.0,0.03359254881659704,0.13605098809021474,0.08998934214589568,0.047572750769566303,0.5225279825094593,0.11656709315690893
337,dangerous,0.10756696376128891,0.0,0.2945191842013785,0.0,0.27544774409052286,0.02619776370079158,0.0,0.06616711469695556,0.03638379951177134,0.0,0.04452018277171311,0.0,0.04681667379837229,0.0,0.0,0.06301481575749272,0.15447654178664422,0.15884920030946068,0.20687446796371659,0.14687328646796716,0.0,0.0,0.34990341289863547,0.07730809489387569,0.03438779558534247
338,data,0.0,0.0,1.0101156395165731,0.11436464481950663,0.0,0.022422227652126245,0.05056887499379162,0.0,0.0,0.0,0.005939399575212518,0.0,0.0,0.02967527418617308,0.0,0.032493038676476085,0.06065583327918321,0.0,0.011924203914089855,0.05011752691345557,0.0490542706519209,0.07490016593841349,0.030502793200663098,0.02139510314806816,0.6533269613636258
339,date,0.0,0.0,0.523027939310422,0.0,0.15148367635411578,0.007987443395652966,0.0,0.018258772870280472,0.005104937335819018,0.06577424691079957,0.013841446713796971,0.14821458387912517,0.12426141356209298,0.05395848464551629,0.23202908787492246,0.017718657862177543,0.0,0.19865742166561748,0.0017330056274247583,0.09659646651298431,0.122010807493043,0.0,0.0706892158095551,0.04147910210971407,0.020689722527736407
340,day,1.3075509993668502,0.0,0.0,0.05010648928855094,0.3668486378151503,0.0,0.0,0.04315599432550726,2.4918048894488085,0.025848864845666238,0.20658158796505716,0.4069191983158564,0.0,0.2325099541234165,0.5938831556052389,0.0,0.8513052011281255,0.7975961857284678,0.04421470290219486,0.0,0.0,0.012296117832668894,0.0,0.0,0.0
341,days,0.9244796339033434,0.023574339815098412,0.2513769160597234,0.02706325426993943,0.3121415024224518,0.0,0.0,0.19886831517217474,0.7432005394910003,0.0,0.03595085233730381,0.6332616231057261,0.0,0.00962974476567708,0.6826888904451649,0.0,0.07640717158930792,0.26158845951207926,0.013607985829868784,0.05573957089683284,0.0,0.1339145975603761,0.04126910555212502,0.0,0.0
342,deal,1.47369292593901,0.12132195883230237,0.3317710389148272,0.059822362762158895,0.011910022801090438,0.372287506004854,0.005379482871819265,0.0,0.0,0.0,0.045992241417925794,0.43438696818346195,0.16728510602783014,0.0,0.42357644081553725,0.09934993955964032,0.051048525133120456,0.06797678256154903,0.12605101709663807,0.04879468987327364,0.04727403876290446,0.0,0.3330110615532216,0.13132056330467892,0.007480330564423104
343,dealing,0.5901771238567517,0.0,0.2545554889954337,0.00018291602457526897,0.01820356141748138,0.06795516271299948,0.0,0.01173494793798161,0.0,0.0,0.01744490846327249,0.2040688256196937,0.21553360417068337,0.0,0.30103479535580524,0.0030710827818507267,0.008883782804895587,0.054224903040122584,0.11143185540703616,0.02127476035309323,0.0,0.0,0.06521862160889497,0.050515509503609855,0.0176559475497531
344,death,0.0,0.0,0.17112326461726385,0.0,0.1776007888327734,0.0,0.0,0.6422788962002824,1.3937044909543392,0.47151364136673724,0.0,0.0,0.01101476667912053,0.0,0.0,0.0,0.42327660796937416,0.3739853643952887,0.39466322329228704,0.0,0.0,0.0,0.029988592566056276,0.0,0.07086676061045041
345,debate,1.430760149846039,0.11514708289349104,0.0,0.13552651957669964,0.38396420481408494,0.06900474000829906,0.0,0.17528045272785356,0.0,0.009568150147682987,0.0,1.2942007793192185,1.0551845074749513,0.0,2.106450010069516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14237245746208654,0.0,0.0
346,debt,0.5777157793639586,4.6006605223899015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42617159385769465,0.0,0.0,0.0,0.0,0.0,0.9602732917955912,0.0,0.04558854281599414,0.0,0.0,0.0,0.21815112490425764,0.0,0.0,0.0
347,decade,0.0,0.21713909970911974,0.034725639195314746,0.0473310752013369,0.0,0.1118919428172992,0.058709219571649394,0.0,0.09523895223404207,0.12135319759132056,0.110899415849892,0.0,0.0,0.0,0.0,0.0657882890136096,0.027588564499195122,0.16169565836623118,0.01777335422026162,0.07687960713992557,0.04842403835768701,0.1619349737956492,0.06810650064210184,0.05827971942189286,0.1694283917733136
348,decades,0.0,0.07627131987707422,0.0476553258564777,0.03273645433777144,0.005356124616659228,0.054721151552263286,0.026861114162627757,0.08272553716119237,0.6418361987413767,0.02279047116665995,0.1095061108043535,0.06496602657386458,0.0,0.0,0.0,0.05621576922668105,0.03547506962834434,0.3351282434558395,0.0,0.0,0.0,0.11281233915993699,0.09339080669243294,0.15116894754106422,0.13356255472006073
349,december,0.0,0.0,0.21389284631237035,0.0,0.12746372311363785,0.04095384895099972,0.0,0.05326127549144068,0.32489389088692233,0.06398882936276458,0.03153947189203625,0.10063685342599245,0.0,0.05017389219351,0.192859190737148,0.045946306978887026,0.0,0.22951855071176377,0.0,0.1076728072238202,0.06610904777770539,0.08323044503147371,0.0720656908234049,0.010835503979398706,0.0
350,decide,0.596954280970237,0.022963114013627165,0.12462103093502737,0.045012871406172515,0.02728426105210908,0.018987662579076928,0.023957157022005536,0.2914603612948779,0.0,0.019937866564828797,0.0,0.01982575204728078,0.21817090957490298,0.0,0.015441531588732788,0.0,0.0,0.05855812907990367,0.0,0.022657617146931593,0.0,0.0,0.04536259735249394,0.0,0.0
351,decided,0.4922168040933695,0.0024035404617653387,0.07216248192593701,0.019760693895567515,0.05417844161042364,0.03186822455269208,0.01189181484720384,0.34479247014828357,0.1922143688505221,0.016154258808457684,0.01684841893473412,0.10217631074453645,0.04851850858383863,0.0,0.17975108258647512,0.0,0.0,0.06204091529696475,0.0,0.06927965301006624,0.0016419998746077485,0.0,0.06953543761789299,0.01038536881728142,0.0
352,decision,0.3115448278369444,0.0,0.37410437536228586,0.1120942333629717,0.2307291890961423,0.09797608805982926,0.019163023186836593,1.690117970757502,0.0,0.0,0.043435431110546686,0.06531903944485559,0.23739468708256076,0.0,0.09658963983042726,0.0,0.04111986050584358,0.3092942419004782,0.0,0.3721036284896844,0.0,0.0,0.2165593900845768,0.08114179795865507,0.05558599428220128
