,term,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
1234,soldiers,0.1562686271020778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34553782407058115,0.588624427336831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012717376300925988,0.0,2.1586360838828043,0.0,0.0,0.0,0.0,0.0,0.0,0.3200695969239105,0.0,0.0,0.0,0.5428027820537588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1235,solution,0.0926381892893078,0.0,0.0,0.09159774143629197,0.2842272505400584,0.05831005794952783,0.004007811304924142,0.019127902099442158,0.008223551932850477,0.016462820561842575,0.10100995299168954,0.007368631159167028,0.06584055955913988,0.0,0.011445282787186454,0.09012883458382437,0.013926238078283366,0.0,0.02272004663327611,0.0,0.0,0.011549606790638696,0.026631110819070422,0.02889740332205437,0.0,0.005295267160503542,0.055466514377539494,0.08233858320324804,0.0,0.0,0.15735540251518704,0.33135372528547885,0.14444283891891702,0.048172483511523236,0.0,0.0,0.10281090186596645,0.0,0.0,0.08594382438274115,0.053427425890122095,0.0,0.13194442180285737,0.08917805090117041,0.13263437110187734,0.0,0.09780765639596362,0.0,0.04522897400370815,0.13752333330553163
1236,solve,0.12712637506362556,0.030552034539676615,0.0,0.049807237975977275,0.009022323727253681,0.0023611334087485325,0.03151274716935957,0.0,0.0,0.0,0.09881841702373474,0.0,0.006702980220534526,0.0,0.0,0.07506539034541627,0.08179537981962849,0.0,0.021725892903735715,0.0,0.004720373706495576,0.01072546414948269,0.013728369475506387,0.0021903168028410713,0.014581842588942687,0.0,0.03950719212786533,0.06501594110989778,0.02814927343130432,0.010198861859930849,0.0,0.12984681677175516,0.42511374365700555,0.006471644214889094,0.0,0.0,0.09037425821599224,0.0,0.0,0.0,0.02066289979822752,0.0,0.13602993505365715,0.043873642264691544,0.20080680638050927,0.0,0.0,0.0,0.07481395237005393,0.017750015087897638
1237,somebody,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07556702061290341,0.0,0.0,0.08339732936360914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3150271338874955,0.0,0.0,0.0,0.0,0.0,0.023502949954517783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05550858339137605,0.0
1238,soon,0.1618401451519598,0.0,0.05847016072032102,0.006657611553294405,0.06998150939495107,0.07056617126205962,0.0,0.01408435055694301,0.0,0.0,0.029634226241921,0.06642323123785389,0.4054456756418683,0.005422730139281378,0.06573876135954382,0.05117274751205927,0.013382101325787184,0.0984411105151758,0.017332457646291967,0.0,0.0,0.020153815807961818,0.05501719089298308,0.048988353360922984,0.017296000905694373,0.015594233108265076,0.00475563557851926,0.03001586123160961,0.04588768716462338,0.038930264917257595,0.17780241898670415,0.2574439194404585,0.12171944658409688,0.01761268176059734,0.0,0.05086220073601488,0.0,0.004455014165241301,0.0,0.07048267112661563,0.04213970558148677,0.3619321183325484,0.008698145684219543,0.03522644394088418,0.06301855621813299,0.0,0.063635917469447,0.022981256702590835,0.0,0.0
1239,sort,0.016452376649355137,0.0,0.0,0.0,0.0009028278990218469,0.0,0.0,0.0,0.0,0.0281969302329541,0.0,0.08425997018458872,0.047945963858540976,0.0,0.0,0.0,0.0,0.016902013972743508,0.0,0.030460372402224514,0.0007572654526480785,0.005035942848906142,0.0038984334887499,0.005186069076291405,0.008002642610251227,0.0,0.0,0.0,0.0,0.006437313982387036,0.0,0.04945510311244591,0.7494852626163228,0.0,0.02594882163823297,0.0,0.04728604351117588,0.0,0.01412055266209386,0.026028282037908454,0.0,0.014548041389893835,0.01804906163354663,0.0,0.0,0.0,0.0,0.0,0.03624120373923508,0.0
1240,sound,0.09762209052355096,0.06780658025046854,0.0,0.0036319806097749935,0.0024425752296584153,0.023294837167076435,0.0,0.017576493861141584,0.0,0.05608854580308907,0.05239203793641597,0.01304699051798721,0.010710591314864673,0.0,0.0,0.052129218827121904,0.0,0.0,0.0,0.03863789160797547,0.04779255233120267,0.022261439079429946,0.0509346838403903,0.03745489140016419,0.12436424615758035,0.0,0.01980372863794703,0.2033319792355941,0.0,0.026404713232393826,0.0,0.314451093873164,0.11129668892166095,0.14075359434070048,0.032311758426777824,0.022269961214918463,0.07708857567546762,0.0,0.0,0.0,0.10211903426791882,0.10479376967922761,0.0,0.12259419359243416,0.06686348794206134,0.0023118883993700243,0.0,0.0013898401339756314,0.04952862113385966,0.041341892605366595
1241,source,0.0,0.0,0.04447978175051825,0.0,0.0,0.0,0.0,0.03577934200354114,0.0,0.02119653267996486,0.3277205008626724,0.0,0.0,0.0,0.0,0.04418132673356104,0.02895713049010848,0.0,0.09103711919451464,0.0,0.0882183351601451,0.06294055008767845,0.041075929969287925,0.03429665659799251,0.1267019887879854,0.0,0.0012379913728685957,0.3650064551445049,0.0,0.016217301812425765,0.0,0.16037989176597398,0.0,0.02525700435347005,0.0,0.0,0.07072510589319844,0.011612125969970081,0.07843677255300825,0.1440060851769124,0.1984747086598894,0.028074044396503874,0.0,0.07113427119018564,0.0,0.0,0.0,0.0,0.06854438009177295,0.13016167599097744
1242,sources,0.0,0.0,0.0,0.0,0.0030025552814009204,0.0,0.0,0.0,0.0,0.004727461665843222,1.194033386520598,0.0,0.0,0.0,0.0,0.0,0.002070842062308819,0.0260433173224642,0.0,0.0,0.005630111697891151,0.004463506782551144,0.005191845522848993,0.0,0.10032371733538598,0.0,0.0,0.23413488254721174,0.0,0.0,0.0,0.11194464655146075,0.0,0.0,0.0,0.0,0.009318518357410467,0.0,0.2830515201734551,0.09411372766189428,0.31536151754272096,0.0,0.0,0.25795538655927364,0.0,0.0,0.0,0.0,0.06251973620256261,0.10649464269697005
1243,south,0.23301789449452084,0.0,0.07880982224613052,0.0,0.10051610812002014,0.0,0.03856768929720887,0.0,0.0,0.0,0.0,0.4270914060833924,0.0,0.0029737437424139437,0.0,0.0,0.0,0.0,0.01010213431380157,0.0,0.0,0.0722408598205415,0.33692727026175473,0.143329372780949,0.0,0.2563533980225176,0.0,0.4541427798719981,0.0,0.25232495928797716,0.0,0.0,0.060224027195137274,0.2945521707241185,0.0,0.0,0.0,0.0,0.0,1.048794308888906,0.0,1.4666489749501646,0.061688984213447776,0.004664127058819628,0.0,0.0,0.008427434925633049,0.0,0.0,0.00544346298919811
1244,soviet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.914250574544553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.829203827094947,0.0,0.0
1246,speak,0.6479107551445669,0.0,0.0,0.0,0.11714449554601294,0.0,0.030208257967205724,0.0,0.18063525615508713,0.17445450522784026,0.01900621728707701,0.4848030492654015,0.2875658394040258,0.0,0.0,0.0,0.022133781441685856,0.10635510833916609,0.0,0.06876120369131192,0.0,0.01939066100456203,0.004299947527475826,0.0,0.0,0.33466661143932225,0.0,0.002652891234626902,0.11601499473279696,0.0,0.09426099424749419,0.0,0.5934130450894523,0.0,0.06910351418768171,0.0,0.0,0.1732856243675653,0.015298952604170735,0.010901832098468916,0.0,0.26617794757468716,0.014750904571310624,0.0,0.0,0.0,0.024071635800325786,0.01686187574782498,0.0,0.0
1247,speaker,0.0,0.0,0.0,0.0,0.14443849758546537,0.0,0.0,0.0,20.911981550331944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06679802126323814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1686999922035052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07714812738932499,0.0,0.0,0.0,0.0
1248,special,0.4954719028411299,0.0,0.09842981531483495,0.002230716387136795,0.03379327710100125,0.0,0.4670874736169915,0.09570062317549982,0.4427635028459331,0.0,0.0,0.0,0.24464116803547512,0.06468089956853512,0.054516478324211345,0.0,0.029248598873799908,0.09989484805459449,0.009848265306646843,0.054828049100536395,0.018472398633507192,0.0,0.0,0.0,0.0,0.08470354320759729,0.0,0.0,0.37577834293156387,0.055981747487761045,0.0,0.3335041149794667,0.0,0.10160961942466139,0.24386745507406762,0.09117586036284062,0.07467661472631902,0.034560585986908664,0.03683750943060107,0.0,0.03907689378724055,0.9874902790871118,0.0,0.020368815830588093,0.0,0.0,0.0,0.0,0.7328217586097473,0.0
1249,specific,0.0,0.09498428489570639,0.0899576398149123,0.0,0.011067502716906017,0.0,0.01921102517566699,0.0,0.0,0.1768689211307219,0.0,0.06053859707491126,0.0,0.0,0.08695688527061857,0.0,0.04233572561117901,0.02035477027260379,0.0,0.10221062821900011,0.09815112012305496,0.0,0.0,0.04020229453981553,0.13104075118863806,0.02965520087953391,0.0,0.03494708878086035,0.0,0.0681034262056853,0.0,0.4930313624156568,0.06988430697419232,0.05329007632154441,0.07349751723432306,0.17550757119947188,0.17492130181669927,0.0,0.167786062274991,0.08061569224872947,0.02024234996576849,0.0,0.0,0.0,0.04362858858288911,0.05055027778510683,0.09485814535283106,0.0,0.0,0.0
